0	0	1.000000	
1	0	1.000000	
2	0	1.000000	
3	0	1.000000	
4	0	1.000000	
5	0	1.000000	
6	0	1.000000	
7	0	1.000000	
8	0	1.000000	
9	0	1.000000	
10	0	1.000000	
11	0	1.000000	
0	1	1.000000	
1	1	0.925711	
2	1	0.909118	
3	1	0.815266	
4	1	0.846763	
5	1	0.772696	
6	1	0.814567	
7	1	0.758466	
8	1	0.771620	
9	1	0.665122	
10	1	0.502885	
11	1	0.000000	
0	2	1.000000	
1	2	0.911715	
2	2	0.754095	
3	2	0.769056	
4	2	0.620636	
5	2	0.688189	
6	2	0.585896	
7	2	0.646332	
8	2	0.540646	
9	2	0.507104	
10	2	0.285246	
11	2	0.000000	
0	3	1.000000	
1	3	0.834321	
2	3	0.778329	
3	3	0.588557	
4	3	0.637294	
5	3	0.496055	
6	3	0.575287	
7	3	0.471292	
8	3	0.509293	
9	3	0.351974	
10	3	0.238487	
11	3	0.000000	
0	4	1.000000	
1	4	0.861558	
2	4	0.672497	
3	4	0.651573	
4	4	0.497206	
5	4	0.555016	
6	4	0.453583	
7	4	0.514858	
8	4	0.399869	
9	4	0.372660	
10	4	0.177766	
11	4	0.000000	
0	5	1.000000	
1	5	0.825992	
2	5	0.714044	
3	5	0.571260	
4	5	0.564881	
5	5	0.479463	
6	5	0.523329	
7	5	0.448593	
8	5	0.459330	
9	5	0.314719	
10	5	0.200971	
11	5	0.000000	
0	6	1.000000	
1	6	0.826112	
2	6	0.685819	
3	6	0.588937	
4	6	0.527988	
5	6	0.519614	
6	6	0.489361	
7	6	0.498516	
8	6	0.418509	
9	6	0.351132	
10	6	0.177850	
11	6	0.000000	
0	7	1.000000	
1	7	0.820875	
2	7	0.642069	
3	7	0.578131	
4	7	0.495969	
5	7	0.503968	
6	7	0.482639	
7	7	0.470300	
8	7	0.424753	
9	7	0.320605	
10	7	0.181035	
11	7	0.000000	
0	8	1.000000	
1	8	0.757339	
2	8	0.626213	
3	8	0.471195	
4	8	0.478877	
5	8	0.415156	
6	8	0.451195	
7	8	0.407721	
8	8	0.382175	
9	8	0.283576	
10	8	0.159943	
11	8	0.000000	
0	9	1.000000	
1	9	0.701445	
2	9	0.469761	
3	9	0.416655	
4	9	0.318054	
5	9	0.357641	
6	9	0.310519	
7	9	0.335701	
8	9	0.274108	
9	9	0.227402	
10	9	0.115718	
11	9	0.000000	
0	10	1.000000	
1	10	0.488466	
2	10	0.314863	
3	10	0.203994	
4	10	0.206466	
5	10	0.165988	
6	10	0.193512	
7	10	0.163377	
8	10	0.164303	
9	10	0.113382	
10	10	0.068597	
11	10	0.000000	
0	11	1.000000	
1	11	0.000000	
2	11	0.000000	
3	11	0.000000	
4	11	0.000000	
5	11	0.000000	
6	11	0.000000	
7	11	0.000000	
8	11	0.000000	
9	11	0.000000	
10	11	0.000000	
11	11	0.000000	
