rank 0 local counts:[1, 7456541, 7456541, 7456541, 7456540, 7456540, 7456540, 7456540, 7456540, 7456540 ]
rank 1 local counts:[0, 7456540, 7456540, 7456540, 7456541, 7456541, 7456541, 7456541, 7456540, 7456540 ]
rank 3 local counts:[0, 7456540, 7456540, 7456541, 7456541, 7456541, 7456541, 7456540, 7456540, 7456540 ]
rank 2 local counts:[0, 7456541, 7456541, 7456540, 7456540, 7456540, 7456540, 7456540, 7456541, 7456541 ]
rank 7 local counts:[0, 7456541, 7456541, 7456541, 7456541, 7456540, 7456540, 7456540, 7456540, 7456540 ]
rank 12 local counts:[0, 7456540, 7456540, 7456541, 7456541, 7456541, 7456541, 7456540, 7456540, 7456540 ]
rank 14 local counts:[0, 7456540, 7456541, 7456541, 7456541, 7456541, 7456540, 7456540, 7456540, 7456540 ]
rank 8 local counts:[0, 7456540, 7456540, 7456540, 7456540, 7456541, 7456541, 7456541, 7456541, 7456540 ]
rank 9 local counts:[0, 7456541, 7456541, 7456541, 7456540, 7456540, 7456540, 7456540, 7456540, 7456541 ]
rank 5 local counts:[0, 7456540, 7456541, 7456541, 7456541, 7456541, 7456540, 7456540, 7456540, 7456540 ]
rank 10 local counts:[0, 7456540, 7456540, 7456540, 7456541, 7456541, 7456541, 7456541, 7456540, 7456540 ]
rank 13 local counts:[0, 7456541, 7456540, 7456540, 7456540, 7456540, 7456540, 7456541, 7456541, 7456541 ]
rank 4 local counts:[0, 7456541, 7456540, 7456540, 7456540, 7456540, 7456540, 7456541, 7456541, 7456541 ]
rank 6 local counts:[0, 7456540, 7456540, 7456540, 7456540, 7456540, 7456541, 7456541, 7456541, 7456541 ]
rank 15 local counts:[0, 7456540, 7456540, 7456540, 7456540, 7456540, 7456541, 7456541, 7456541, 7456541 ]
rank 11 local counts:[0, 7456541, 7456541, 7456540, 7456540, 7456540, 7456540, 7456540, 7456541, 7456541 ]
global counts:[1, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647 ]
