rank 0 local counts:[1, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081, 14913080, 14913080 ]
rank 1 local counts:[0, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081, 14913080, 14913081, 14913081 ]
rank 2 local counts:[0, 14913081, 14913081, 14913081, 14913081, 14913081, 14913080, 14913081, 14913081, 14913081 ]
rank 3 local counts:[0, 14913081, 14913081, 14913081, 14913081, 14913080, 14913081, 14913081, 14913081, 14913081 ]
rank 4 local counts:[0, 14913081, 14913081, 14913081, 14913080, 14913081, 14913081, 14913081, 14913081, 14913081 ]
rank 7 local counts:[0, 14913080, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081 ]
rank 5 local counts:[0, 14913081, 14913081, 14913080, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081 ]
rank 6 local counts:[0, 14913081, 14913080, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081, 14913081 ]
global counts:[1, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647, 119304647 ]
